id,site_id,title,seller_id,category_id,official_store_id,price,currency_id,condition,accepts_mercadopago,tiempo_de_garantia,meses_de_garantia,facturacion,marca,color,generacion,condicion_del_item,modelo,memoria_ram,con_bluetooth,con_wi_fi,status,date_created,last_updated,fecha_de_carga
MLA1696276176,MLA,Google Chromecast 3 Full Hd Media Streaming Negro,216203805,MLA352001,,89500,ARS,new,True,12 meses,12,Factura A,Google,Negro,3,Nuevo,Chromecast,,Sí,Sí,active,2024-03-08T11:29:36.000Z,2024-06-10T15:34:44.000Z,2024-06-10
MLA1401784639,MLA,Google Chromecast 4 Generación Con Google Tv Hd Blanco,541665065,MLA352001,,110999,ARS,new,True,6 meses,6,Factura A,Google,Blanco,4,Nuevo,Chromecast,1.5 GB,Sí,Sí,active,2024-01-09T12:59:00.000Z,2024-06-10T15:33:38.000Z,2024-06-10
MLA1759597416,MLA,Chromecast Google Ga03131 Tv Hd 8gb 2gb Ram 60 Fps Wifi Bluetooth Hdmi 4ta Gen Blanco,200708852,MLA352001,,79990,ARS,new,True,10 meses,10,Factura A,Google,Blanco,4,Nuevo,GA03131,2 GB,Sí,Sí,active,2024-05-03T02:42:43.000Z,2024-06-10T15:31:56.000Z,2024-06-10
MLA1421099999,MLA,Google Chromecast 3 Chromecast 3 3.ª Generación Full Hd,315567563,MLA352001,,56085,ARS,new,True,6 meses,6,Factura A,Google,Negro,3,Nuevo,3,512 MB,No,Sí,active,2024-04-11T20:35:56.000Z,2024-06-10T15:29:28.000Z,2024-06-10
MLA877404372,MLA,Google Chromecast 3 Generacion Full Hd En Caja Con Fuente,234883070,MLA352001,,48999,ARS,new,True,6 meses,6,Factura A,Google,,3,Nuevo,Chromecast 3rd Generation,512 MB,Sí,Sí,active,2020-09-08T15:36:10.000Z,2024-06-10T15:22:05.000Z,2024-06-10
MLA918072516,MLA,Google Nest Mini Nest Mini 2nd Gen Con Asistente Virtual Google Assistant Chalk 110v/220v,119914491,MLA409415,,66490.5,ARS,new,True,6 meses,6,Factura A,Google,Chalk,,Nuevo,Nest Mini 2nd Gen,,Sí,,active,2021-04-26T19:22:18.000Z,2024-06-10T12:52:28.000Z,2024-06-10
MLA1785182142,MLA,"Google Nest Hub Con Asistente Virtual Google Assistant, Pantalla Integrada De 7  Chalk 110v/220v",817662254,MLA409415,,218944,ARS,new,True,30 días,1,Factura A,Google,Chalk,,Nuevo,Nest Hub,,Sí,,active,2024-05-24T18:25:48.456Z,2024-06-07T13:38:15.786Z,2024-06-10
MLA1429485397,MLA,"Google Nest Hub Con Asistente Virtual Google Assistant, Pantalla Integrada De 7  Charcoal 110v/220v",119914491,MLA409415,,237499.05,ARS,new,True,3 meses,3,Factura A,Google,Charcoal,,Nuevo,Nest Hub,,Sí,,active,2024-05-29T17:26:50.417Z,2024-06-05T16:19:45.487Z,2024-06-10
MLA1127771299,MLA,Google Home Mini Con Asistente Virtual Google Assistant Coral 110v/220v,119914491,MLA409415,,69511.2,ARS,new,True,6 meses,6,Factura A,Google,Coral,,Nuevo,Home Mini,,Sí,,active,2022-03-15T17:51:39.000Z,2024-06-06T22:37:55.000Z,2024-06-10
MLA1664717226,MLA,"Google Nest Hub 2nd Gen Con Asistente Virtual Google Assistant, Pantalla Integrada De 7  Charcoal 110v/220v",78053986,MLA409415,,379050,ARS,new,True,12 meses,12,Factura A,Google,Charcoal,,Nuevo,Nest Hub 2nd Gen,,Sí,,active,2024-02-09T20:24:16.000Z,2024-06-09T00:59:42.746Z,2024-06-10
MLA1618186704,MLA, Apple Tv 4k (wifi + Ethernet) A2843 De Voz 3.ª Generación 2022 4k 128gb Negro - Distribuidor Autorizado,553476757,MLA352001,2549,468999,ARS,new,True,1 años,12,Factura A,Apple,Negro,3,Nuevo,Apple TV 4K (WiFi + Ethernet),,Sí,Sí,active,2024-01-03T12:33:34.000Z,2024-06-10T14:47:12.867Z,2024-06-10
MLA1113585170,MLA,Apple Tv 4k 64gb Negro 1.ª Generación 2017,119914491,MLA352001,,259990,ARS,new,True,6 meses,6,Factura A,Apple,Negro,1,Nuevo,Apple TV 4K,,Sí,Sí,active,2021-11-24T16:13:15.000Z,2024-06-10T03:17:51.000Z,2024-06-10
MLA1154176154,MLA, Apple Tv Hd A1625 De Voz 4.ª Generación 2015 Full Hd 32gb Negro Con 2gb De Memoria Ram,284824585,MLA352001,,249990,ARS,new,True,6 meses,6,Factura A,Apple,Negro,4,Nuevo,Apple TV HD,2 GB,Sí,Sí,active,2022-08-17T19:41:31.000Z,2024-06-10T12:35:32.000Z,2024-06-10
MLA1399215546,MLA, Apple Tv 4k (wifi) A2737 De Voz 3.ª Generación 2022 4k 64gb Negro,208137579,MLA352001,,477099,ARS,new,True,1 años,12,Factura A,Apple,Negro,3,Nuevo,Apple TV 4K (WiFi),,Sí,Sí,active,2023-04-18T13:17:56.000Z,2024-06-10T12:46:55.522Z,2024-06-10
MLA1732679658,MLA, Apple Tv 4k (wifi) A2737 3.ª Generación 2022 4k 64gb Color Negro Tipo De Control Remoto Control De Voz,729785121,MLA352001,,640200,ARS,new,True,6 meses,6,Factura A,Apple,Negro,3,Nuevo,Apple TV 4K (WiFi),,Sí,Sí,active,2024-04-08T04:08:16.000Z,2024-06-10T09:07:21.032Z,2024-06-10
MLA1372801425,MLA,Amazon Lite Fire Tv Stick B091g4yp57 De Voz 2.ª Generación Full Hd 8gb Negro Con 1gb De Memoria Ram,52270943,MLA352001,,66799,ARS,new,True,6 meses,6,Factura A,Amazon,Negro,2,Nuevo,Fire TV Stick,1 GB,Sí,Sí,active,2023-06-09T18:48:47.000Z,2024-06-10T13:46:20.000Z,2024-06-10
MLA1718273728,MLA,Amazon Fire Tv Stick 4k 2023 Wifi 6 2gb De Ram Con Alexa Color Negro,69526727,MLA352001,,82800,ARS,new,True,6 meses,6,Factura A,Amazon,Negro,2,Nuevo,Fire TV Stick 4K,2 GB,Sí,Sí,active,2024-03-25T15:51:56.000Z,2024-06-10T02:28:08.873Z,2024-06-10
MLA1374156562,MLA,Amazon Fire Tv Stick 4k De Voz 3.ª Generación 4k 8gb Negro Con 1.5gb De Memoria Ram,541665065,MLA352001,,94999,ARS,new,True,6 meses,6,Factura A,Amazon,Negro,3,Nuevo,Fire TV Stick 4K,1.5 GB,Sí,Sí,active,2023-03-17T15:35:14.000Z,2024-06-10T13:36:28.000Z,2024-06-10
MLA1751072176,MLA,"Amazon Fire Tv Stick 4k Streaming, Con Alexa Voice Remote Color Negro",656691895,MLA352001,,83904,ARS,new,True,30 días,1,Factura A,Amazon,Negro,2,Nuevo,Fire TV Stick 4K,1.5 GB,Sí,Sí,active,2024-04-24T20:29:53.000Z,2024-06-09T23:26:30.628Z,2024-06-10
MLA1400535123,MLA,Amazon Tv Stick Fire Tv Stick 4k Max K2r2te De Voz 1.ª Generación 4k 8gb Negro Con 2gb De Memoria Ram,1443311053,MLA352001,,87800,ARS,new,True,6 meses,6,Factura A,Amazon,Negro,1,Nuevo,Fire TV Stick 4K Max,2 GB,Sí,Sí,active,2023-12-28T20:04:54.968Z,2024-06-10T12:53:52.311Z,2024-06-10
